Customer_ID,Full_Name,Email,Phone,Gender,Age,Join_Date,Segment,City,Country,Tenure_Days
CUST-100,Michelle Moore,marksmith@example.com,485.796.3818x945,Other,43,2025-01-31,Basic,Tracychester,Germany,502
CUST-101,Renee Shepard,fwallace@example.com,+1-654-800-0676x666,Male,39,2022-06-28,Standard,Wardport,India,1450
CUST-102,Kenneth Escobar,michellerich@example.net,574.959.0952x28057,Female,45,2022-10-03,Basic,East Andrew,India,1353
CUST-103,Michelle Graves,eddiemelendez@example.net,+1-245-284-0170x504,Other,24,2022-06-12,Standard,Ericshire,USA,1466
CUST-104,Julie Lee,sarah44@example.com,001-811-602-4425x90143,Other,52,2025-05-20,Basic,Wilsontown,Germany,393
CUST-105,Nicole Bradley,jonathan77@example.net,729.736.9366,Other,45,2024-05-27,Standard,Elizabethfort,USA,751
CUST-106,Richard Johnson Jr.,yangbobby@example.org,+1-597-704-3612x624,Male,31,2026-04-24,Standard,Perryfort,India,54
CUST-107,Pedro Hayes,gwolfe@example.com,001-311-921-6203x63012,Female,27,2023-02-17,Premium,South Tamaraland,India,1216
CUST-108,Jorge Newton,zramirez@example.com,+1-360-446-9929x4157,Male,33,2024-03-14,Premium,Port Christopher,UK,825
CUST-109,Melvin Davidson,hannahli@example.net,(543)810-6392x428,Other,33,2025-01-15,Premium,Davisstad,India,518
CUST-110,Nicole Meadows,,962-422-5108,Male,48,2022-07-28,Premium,Williammouth,USA,1420
CUST-111,Richard Ford,schultztyler@example.net,(988)271-7024x948,Male,59,2025-03-26,Basic,Whitefurt,India,448
CUST-112,Jeffery Schmidt,qcunningham@example.org,925.700.2047,Female,42,2023-08-03,Basic,Comptonchester,USA,1049
CUST-113,Sherry Hanson,grussell@example.org,(255)589-1702x2741,Female,30,2025-01-27,Standard,West Monica,India,506
CUST-114,Lori Cameron,jennifersutton@example.net,512-573-9786x809,Other,23,2024-04-01,Basic,Port Frankview,India,807
CUST-115,Brandon Weber,nrichard@example.org,(710)217-5135x69164,Male,61,2023-12-10,Premium,Bruceville,Germany,920
CUST-116,Darlene Miller,wendyfox@example.org,8557006623,Female,26,2024-07-08,Standard,Port Joseph,Germany,709
CUST-117,Deanna Jenkins,laneapril@example.com,995-744-1997x6882,Male,62,2024-06-04,Basic,New Andrewhaven,USA,743
CUST-118,Brandon Anderson,shawlee@example.net,001-468-794-1402x550,Male,53,2022-12-17,Premium,Castilloview,India,1278
CUST-119,Ian Johnson,kimberlygarcia@example.com,+1-492-300-4993x994,Female,60,2025-04-08,Basic,Crystalview,India,435
CUST-120,Rebecca White,xking@example.com,001-697-850-4271x148,Female,37,2024-11-14,Standard,Jamesberg,USA,580
CUST-122,Dominique Wilson,matthewgarcia@example.net,+1-672-619-7658x073,Other,60,2025-09-18,Premium,Robertmouth,India,272
CUST-123,David Dean,,490-952-2905x692,Female,38,2025-08-26,Premium,Marioside,India,295
CUST-124,Kayla Guerra,holtnathan@example.net,715.736.9920,Male,21,2022-06-26,Basic,East Christina,UK,1452
CUST-125,Sonya Anderson,gduncan@example.org,874.647.5312,Female,67,2024-11-08,Standard,North Erinview,India,586
CUST-126,Samantha Harris,qwiggins@example.net,961.220.6811,Female,50,2026-04-15,Standard,New Maria,USA,63
CUST-127,Edgar Hogan,joshua10@example.org,596-995-6740x52355,Other,44,2023-03-03,Basic,North Kelsey,UK,1202
CUST-128,Thomas Hernandez,zlamb@example.com,3419759362,Other,24,2025-05-03,Standard,Christopherside,India,410
CUST-129,Meredith Stewart,silvavictor@example.net,9766877008,Male,23,2024-04-11,Basic,West Charles,India,797
CUST-130,Joel Garcia,mariatorres@example.com,(841)474-2771,Other,32,2025-11-16,Basic,Port Ryan,India,213
CUST-131,Justin Fisher,brittney33@example.org,+1-621-206-2127x380,Male,35,2022-12-18,Basic,Erinchester,USA,1277
CUST-132,Amanda Collins,ohopkins@example.com,645.486.9035x378,Other,49,2025-12-16,Basic,New Lauren,India,183
CUST-133,Robert Kerr,andrewbyrd@example.com,581-774-3823x02778,Male,28,2023-01-15,Standard,Danielville,UK,1249
CUST-134,Shelby Schmidt,joseph86@example.org,967.248.8433,Male,37,2022-09-24,Standard,South Frank,USA,1362
CUST-135,Daniel Williams,carlos94@example.com,(524)420-5269,Other,41,2023-08-04,Basic,Ryanmouth,USA,1048
CUST-136,Tammy Spears,clewis@example.net,(496)748-5357x215,Male,32,2022-11-25,Basic,Port Kennethville,Germany,1300
CUST-137,Heather Nelson,timothy67@example.net,569-668-9317,Other,65,2022-09-05,Standard,East Ashley,India,1381
